iso3_i,country_i,iso3_j,country_j,trade_musd,ln_trade,distance,ln_dist,gdp_i_musd,ln_gdp_i,gdp_j_musd,ln_gdp_j,contiguity,common_language,agree_fta,colony_ever
RUS,Russian Federation,ARG,Argentina,121281.9,11.7059,14447.6,9.5783,3331626.2,15.019,732951.0,13.5048,0,0,0,0
AUS,Australia,PAK,Pakistan,386692.9,12.8654,10505.4,9.2596,1177003.4,13.9785,1045692.6,13.8602,0,1,0,0
COL,Colombia,VNM,Viet Nam,26295.7,10.1772,17646.7,9.7783,634618.4,13.3608,569957.4,13.2533,0,0,0,0
POL,Poland,IDN,Indonesia,293275.3,12.5889,10407.6,9.2503,1041614.3,13.8563,2741298.0,14.8239,0,0,0,0
ARE,United Arab Emirates,ARG,Argentina,106216.1,11.5732,13831.8,9.5347,639613.9,13.3686,732951.0,13.5048,0,1,0,0
MEX,Mexico,BGD,Bangladesh,1176.2,7.07,14794.7,9.602,2288709.0,14.6435,554078.6,13.2251,0,0,0,0
TUR,Turkey,MEX,Mexico,574868.7,13.2619,11612.2,9.3598,2189993.8,14.5994,2288709.0,14.6435,0,0,0,0
CAN,Canada,PHL,Philippines,744306.4,13.5202,12646.6,9.4451,1620789.4,14.2984,800424.5,13.5929,0,1,0,0
ARG,Argentina,BEL,Belgium-Luxembourg,278653.2,12.5377,11330.6,9.3353,732951.0,13.5048,476003.9,13.0732,0,1,0,0
GBR,United Kingdom,AUS,Australia,4965534.1,15.418,16524.7,9.7126,2625843.8,14.7809,1177003.4,13.9785,0,1,0,1
BGD,Bangladesh,COL,Colombia,54475.1,10.9055,16371.1,9.7033,554078.6,13.2251,634618.4,13.3608,0,0,0,0
USA,USA,KOR,Rep. of Korea,53419818.0,17.7937,10645.6,9.2729,17712704.0,16.6898,1873959.5,14.4436,0,1,1,0
MYS,Malaysia,CAN,Canada,1583929.3,14.2754,14030.9,9.549,743163.9,13.5187,1620789.4,14.2984,0,1,0,0
IRN,Iran,BRA,Brazil,106623.4,11.5771,11806.2,9.3764,1306574.1,14.0829,2905474.5,14.8821,0,0,0,0
KOR,Rep. of Korea,MEX,Mexico,10608537.9,16.1772,11749.0,9.3715,1873959.5,14.4436,2288709.0,14.6435,0,0,0,0
KOR,Rep. of Korea,NGA,Nigeria,663306.6,13.405,12112.8,9.402,1873959.5,14.4436,822121.3,13.6196,0,1,0,0
ZAF,So. African Customs Union,PHL,Philippines,66408.2,11.1036,11200.5,9.3237,672752.5,13.4191,800424.5,13.5929,0,1,0,0
ZAF,So. African Customs Union,KOR,Rep. of Korea,1517312.5,14.2325,12782.1,9.4558,672752.5,13.4191,1873959.5,14.4436,0,1,0,0
ARG,Argentina,NLD,Netherlands,1671599.5,14.3293,11444.8,9.3453,732951.0,13.5048,848082.2,13.6507,0,0,0,0
CHE,Switzerland,IDN,Indonesia,728617.0,13.4989,11260.2,9.329,558580.2,13.2332,2741298.0,14.8239,0,1,0,0
AUS,Australia,COL,Colombia,41694.4,10.6381,14827.0,9.6042,1177003.4,13.9785,634618.4,13.3608,0,0,0,0
VNM,Viet Nam,ESP,Spain,2486657.1,14.7264,10523.2,9.2613,569957.4,13.2533,1667510.2,14.3268,0,0,0,0
IRN,Iran,COL,Colombia,1036.8,6.9439,12841.5,9.4604,1306574.1,14.0829,634618.4,13.3608,0,0,0,0
CHN,China,MEX,Mexico,60932834.1,17.9253,12765.1,9.4545,17797724.0,16.6946,2288709.0,14.6435,0,0,0,0
AUS,Australia,ZAF,So. African Customs Union,729235.5,13.4998,10517.2,9.2608,1177003.4,13.9785,672752.5,13.4191,0,1,0,0
ARG,Argentina,JPN,Japan,385024.0,12.8611,18250.7,9.812,732951.0,13.5048,5162353.5,15.4569,0,0,0,0
USA,USA,PAK,Pakistan,2792969.7,14.8426,12199.9,9.4092,17712704.0,16.6898,1045692.6,13.8602,0,1,0,0
VNM,Viet Nam,NGA,Nigeria,195159.9,12.1816,10851.5,9.2921,569957.4,13.2533,822121.3,13.6196,0,1,0,0
SWE,Sweden,AUS,Australia,1765606.1,14.384,15299.9,9.6356,442183.8,12.9995,1177003.4,13.9785,0,0,0,0
MYS,Malaysia,COL,Colombia,162335.7,11.9974,18767.5,9.8399,743163.9,13.5187,634618.4,13.3608,0,0,0,0
ARG,Argentina,RUS,Russian Federation,685420.1,13.4378,14447.6,9.5783,732951.0,13.5048,3331626.2,15.019,0,0,0,0
NGA,Nigeria,KOR,Rep. of Korea,748177.6,13.5254,12112.8,9.402,822121.3,13.6196,1873959.5,14.4436,0,1,0,0
CHE,Switzerland,PHL,Philippines,357050.0,12.7856,10766.9,9.2842,558580.2,13.2332,800424.5,13.5929,0,1,0,0
MEX,Mexico,MYS,Malaysia,399559.5,12.8981,16031.0,9.6823,2288709.0,14.6435,743163.9,13.5187,0,0,0,0
BRA,Brazil,THA,Thailand,2035262.2,14.5261,16294.6,9.6986,2905474.5,14.8821,1102635.0,13.9132,0,1,0,0
AUS,Australia,POL,Poland,277171.8,12.5324,15226.5,9.6308,1177003.4,13.9785,1041614.3,13.8563,0,0,0,0
ARE,United Arab Emirates,MEX,Mexico,135341.2,11.8156,14153.3,9.5577,639613.9,13.3686,2288709.0,14.6435,0,0,0,0
AUS,Australia,EGY,Egypt,332024.4,12.713,13850.6,9.5361,1177003.4,13.9785,1103773.9,13.9142,0,1,0,0
